date,fund,company,ticker,shares,market value($),weight(%)
10/20/2020,ARKQ,TESLA INC,TSLA,185229.0,78155524.26,9.93
10/20/2020,ARKQ,MATERIALISE NV-ADR,MTLS,1327182.0,65403528.96,8.31
10/20/2020,ARKQ,2U INC,TWOU,1213773.0,42494192.73,5.4
10/20/2020,ARKQ,ALPHABET INC-CL C,GOOG,20975.0,32635631.75,4.15
10/20/2020,ARKQ,XILINX INC,XLNX,275694.0,31630372.62,4.02
10/20/2020,ARKQ,PROTO LABS INC,PRLB,225919.0,30950903.0,3.93
10/20/2020,ARKQ,DEERE & CO,DE,123507.0,29502117.09,3.75
10/20/2020,ARKQ,JD.COM INC-ADR,JD,340310.0,28099396.7,3.5700000000000003
10/20/2020,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,764912.0,27383849.6,3.4799999999999995
10/20/2020,ARKQ,TRIMBLE INC,TRMB,514486.0,26712113.12,3.39
10/20/2020,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,1271949.0,26278466.34,3.34
10/20/2020,ARKQ,STRATASYS LTD,SSYS,1710878.0,24756404.66,3.15
10/20/2020,ARKQ,CATERPILLAR INC,CAT,142114.0,24015844.86,3.05
10/20/2020,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,738141.0,20970585.81,2.66
10/20/2020,ARKQ,SPLUNK INC,SPLK,92489.0,19566047.95,2.49
10/20/2020,ARKQ,FLIR SYSTEMS INC,FLIR,519365.0,18826981.25,2.39
10/20/2020,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,206946.0,18265053.96,2.32
10/20/2020,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,783254.0,17989386.25,2.29
10/20/2020,ARKQ,NXP SEMICONDUCTORS NV,NXPI,131829.0,17824599.09,2.27
10/20/2020,ARKQ,AEROVIRONMENT INC,AVAV,231622.0,17489777.22,2.22
10/20/2020,ARKQ,WORKHORSE GROUP INC,WKHS,838862.0,17192476.69,2.18
10/20/2020,ARKQ,SYNOPSYS INC,SNPS,70627.0,15989952.8,2.03
10/20/2020,ARKQ,BAIDU INC - SPON ADR,BIDU,108661.0,14134622.88,1.8000000000000005
10/20/2020,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,422286.0,13521597.72,1.72
10/20/2020,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,580885.0,13377781.55,1.7000000000000002
10/20/2020,ARKQ,EXONE CO/THE,XONE,1007780.0,11911959.6,1.51
10/20/2020,ARKQ,TERADYNE INC,TER,135527.0,11918244.38,1.51
10/20/2020,ARKQ,AMAZON.COM INC,AMZN,3587.0,11539414.87,1.47
10/20/2020,ARKQ,INTUITIVE SURGICAL INC,ISRG,14734.0,10800022.0,1.37
10/20/2020,ARKQ,ELBIT SYSTEMS LTD,ESLT,73045.0,9024709.75,1.15
10/20/2020,ARKQ,NVIDIA CORP,NVDA,16518.0,9015854.76,1.15
10/20/2020,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,118112.0,8592648.0,1.09
10/20/2020,ARKQ,ANSYS INC,ANSS,24405.0,8101483.8,1.03
10/20/2020,ARKQ,ROCKWELL AUTOMATION INC,ROK,31862.0,7678104.76,0.98
10/20/2020,ARKQ,APPLE INC,AAPL,65907.0,7744731.57,0.98
10/20/2020,ARKQ,AUTODESK INC,ADSK,25587.0,6584558.58,0.84
10/20/2020,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,3707228.18,3707228.18,0.4699999999999999
10/20/2020,ARKQ,RAVEN INDUSTRIES INC,RAVN,154380.0,3674244.0,0.4699999999999999
10/20/2020,ARKQ,NANO DIMENSION LTD - ADR,NNDM,482451.0,1804366.74,0.23
10/20/2020,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,199201.0,1657352.32,0.21
