date,fund,company,ticker,shares,market value($),weight(%)
10/29/2020,ARKF,SQUARE INC - A,SQ,564912.0,95955952.32,10.41
10/29/2020,ARKF,PINTEREST INC- CLASS A,PINS,873970.0,54631864.7,5.93
10/29/2020,ARKF,MERCADOLIBRE INC,MELI,35841.0,46628424.18,5.06
10/29/2020,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,488861.0,38390254.33,4.16
10/29/2020,ARKF,LENDINGTREE INC,TREE UW,108126.0,37221294.24,4.04
10/29/2020,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,381654.0,36524287.8,3.96
10/29/2020,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,105870.0,33090727.2,3.5900000000000003
10/29/2020,ARKF,SEA LTD-ADR,SE,195419.0,32638881.38,3.54
10/29/2020,ARKF,ADYEN NV,ADYEN,17314.0,30481469.12,3.31
10/29/2020,ARKF,ZILLOW GROUP INC - C,Z,325912.0,29987163.12,3.25
10/29/2020,ARKF,MEITUAN-CLASS B,3690,780415.0,29914532.72,3.25
10/29/2020,ARKF,PAYPAL HOLDINGS INC,PYPL,147448.0,28758257.92,3.12
10/29/2020,ARKF,Z HOLDINGS CORP,4689,3853412.0,27291548.79,2.96
10/29/2020,ARKF,SNAP INC - A,SNAP,635162.0,26816539.64,2.91
10/29/2020,ARKF,AMAZON.COM INC,AMZN,7805.0,25061933.05,2.72
10/29/2020,ARKF,APPLE INC,AAPL,208145.0,24003281.4,2.6
10/29/2020,ARKF,TWILIO INC - A,TWLO,80443.0,23214240.94,2.52
10/29/2020,ARKF,FACEBOOK INC-CLASS A,FB,79442.0,22309696.86,2.42
10/29/2020,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,4219245.0,21794407.9,2.36
10/29/2020,ARKF,SPLUNK INC,SPLK,91957.0,18931187.59,2.0500000000000003
10/29/2020,ARKF,DOCUSIGN INC,DOCU,72989.0,15594099.85,1.69
10/29/2020,ARKF,INTUIT INC,INTU,47895.0,15595090.95,1.69
10/29/2020,ARKF,WORKDAY INC-CLASS A,WDAY,60499.0,13166397.37,1.43
10/29/2020,ARKF,PINDUODUO INC-ADR,PDD,126463.0,11902697.56,1.29
10/29/2020,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,445470.0,11911867.8,1.29
10/29/2020,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,116759.0,11570816.9,1.26
10/29/2020,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,135582.0,11509555.98,1.25
10/29/2020,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,361796.0,11512370.19,1.25
10/29/2020,ARKF,SBI HOLDINGS INC,8473,457474.0,10734515.36,1.16
10/29/2020,ARKF,SCHWAB (CHARLES) CORP,SCHW,260572.0,10503657.32,1.14
10/29/2020,ARKF,HDFC BANK LTD-ADR,HDB,175905.0,10132128.0,1.1
10/29/2020,ARKF,YEAHKA LTD,9923,1746800.0,9935496.69,1.08
10/29/2020,ARKF,NVIDIA CORP,NVDA,18566.0,9672143.36,1.05
10/29/2020,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,201711.0,9633717.36,1.05
10/29/2020,ARKF,LENDINGCLUB CORP,LC,1879598.0,8890498.54,0.96
10/29/2020,ARKF,JD.COM INC-ADR,JD,106172.0,8816522.88,0.96
10/29/2020,ARKF,DISCOVERY LTD,DSY,1242493.0,8509119.81,0.92
10/29/2020,ARKF,TRANSUNION,TRU,102551.0,8116911.65,0.88
10/29/2020,ARKF,VERISK ANALYTICS INC,VRSK,41490.0,7435837.8,0.8100000000000002
10/29/2020,ARKF,TCS GROUP HOLDING-GDR REG S,,307519.0,7365080.05,0.8
10/29/2020,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,271169.0,6047068.7,0.66
10/29/2020,ARKF,MARKETAXESS HOLDINGS INC,MKTX,9012.0,5009410.32,0.54
10/29/2020,ARKF,ZSCALER INC,ZS,32124.0,4579597.44,0.5
10/29/2020,ARKF,SHOPIFY INC - CLASS A,SHOP,4235.0,4137595.0,0.4500000000000001
10/29/2020,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,213180.0,3647509.8,0.4
10/29/2020,ARKF,MORGAN STANLEY GOVT INSTL 8035,,1933823.38,1933823.38,0.21
