date,fund,company,ticker,shares,market value($),weight(%)
10/23/2020,ARKG,INVITAE CORP,NVTA,6276325.0,284066469.5,9.68
10/23/2020,ARKG,CRISPR THERAPEUTICS AG,CRSP,2570850.0,238189252.5,8.12
10/23/2020,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,15259271.0,212103866.9,7.23
10/23/2020,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2930709.0,144689103.33,4.93
10/23/2020,ARKG,TWIST BIOSCIENCE CORP,TWST,1657556.0,142500089.32,4.8599999999999985
10/23/2020,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,3021004.0,113740800.6,3.88
10/23/2020,ARKG,CAREDX INC,CDNA,2183174.0,109551671.32,3.73
10/23/2020,ARKG,PERSONALIS INC,PSNL,3866879.0,101582911.33,3.46
10/23/2020,ARKG,SERES THERAPEUTICS INC,MCRB,3337066.0,100629225.23,3.4300000000000006
10/23/2020,ARKG,COMPUGEN LTD,CGEN,6155412.0,87160633.92,2.97
10/23/2020,ARKG,TELADOC HEALTH INC,TDOC,396961.0,85870603.52,2.9300000000000006
10/23/2020,ARKG,CELLECTIS - ADR,CLLS,4331713.0,84078549.33,2.87
10/23/2020,ARKG,ILLUMINA INC,ILMN,254805.0,82442157.75,2.81
10/23/2020,ARKG,FATE THERAPEUTICS INC,FATE,1690833.0,81768683.88,2.79
10/23/2020,ARKG,PURE STORAGE INC - CLASS A,PSTG,4400029.0,79640524.9,2.71
10/23/2020,ARKG,INCYTE CORP,INCY,762528.0,68391136.32,2.33
10/23/2020,ARKG,EXACT SCIENCES CORP,EXAS,621463.0,68174491.1,2.32
10/23/2020,ARKG,EDITAS MEDICINE INC,EDIT,2026424.0,66385650.24,2.26
10/23/2020,ARKG,VERACYTE INC,VCYT,1765435.0,65921342.9,2.25
10/23/2020,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2409636.0,59951743.68,2.04
10/23/2020,ARKG,CERUS CORP,CERS,8188288.0,51913745.92,1.77
10/23/2020,ARKG,ACCOLADE INC,ACCD,1075955.0,45200869.55,1.54
10/23/2020,ARKG,IONIS PHARMACEUTICALS INC,IONS,935671.0,44294665.14,1.51
10/23/2020,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,207293.0,43859052.94,1.49
10/23/2020,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,844186.0,41787207.0,1.4200000000000002
10/23/2020,ARKG,10X GENOMICS INC-CLASS A,TXG,271309.0,38599131.43,1.32
10/23/2020,ARKG,SCHRODINGER INC,SDGR,607193.0,36801967.73,1.25
10/23/2020,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,1943028.0,32370846.48,1.1
10/23/2020,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,355020.0,29974338.6,1.02
10/23/2020,ARKG,GUARDANT HEALTH INC,GH,274734.0,28767397.14,0.98
10/23/2020,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3789135.0,28532186.55,0.97
10/23/2020,ARKG,CASTLE BIOSCIENCES INC,CSTL,525757.0,27255242.88,0.93
10/23/2020,ARKG,PHREESIA INC,PHR,669587.0,24975595.1,0.8500000000000001
10/23/2020,ARKG,CODEXIS INC,CDXS,1658331.0,23904841.37,0.8100000000000002
10/23/2020,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,569066.0,20554663.92,0.7
10/23/2020,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,4536535.0,19416369.8,0.66
10/23/2020,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,1937550.0,19123618.5,0.65
10/23/2020,ARKG,BEAM THERAPEUTICS INC,BEAM,504559.0,19117740.51,0.65
10/23/2020,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,33340.0,16008867.8,0.55
10/23/2020,ARKG,REGENERON PHARMACEUTICALS,REGN,26415.0,15315681.15,0.52
10/23/2020,ARKG,APPLE INC,AAPL,127493.0,14666794.72,0.5
10/23/2020,ARKG,EVOGENE LTD,EVGN,4602387.0,14635590.66,0.5
10/23/2020,ARKG,BERKELEY LIGHTS INC,BLI,101402.0,7665991.2,0.26
10/23/2020,ARKG,SURFACE ONCOLOGY INC,SURF,533620.0,5106743.4,0.16999999999999998
10/23/2020,ARKG,ORGANOVO HOLDINGS INC,ONVO ,375748.0,3892749.28,0.13
10/23/2020,ARKG,REPARE THERAPEUTICS INC,RPTX,108097.0,2970505.56,0.1
10/23/2020,ARKG,MORGAN STANLEY GOVT INSTL 8035,,802213.18,802213.18,0.03
