date,fund,company,ticker,shares,market value($),weight(%)
10/21/2020,ARKK,TESLA INC,TSLA,2487397.0,1051273468.08,10.22
10/21/2020,ARKK,INVITAE CORP,NVTA,17671295.0,778243831.8,7.57
10/21/2020,ARKK,SQUARE INC - A,SQ,3805714.0,676732063.48,6.58
10/21/2020,ARKK,ROKU INC,ROKU,2706410.0,602934019.8,5.860000000000001
10/21/2020,ARKK,CRISPR THERAPEUTICS AG,CRSP,5614516.0,517770665.52,5.0299999999999985
10/21/2020,ARKK,PROTO LABS INC,PRLB,2584434.0,349234566.42,3.4000000000000004
10/21/2020,ARKK,SLACK TECHNOLOGIES INC- CL A,WORK,11550320.0,333457738.4,3.2400000000000007
10/21/2020,ARKK,ZILLOW GROUP INC - C,Z,3221405.0,317791603.25,3.09
10/21/2020,ARKK,LENDINGTREE INC,TREE UW,905760.0,308846044.8,3.0
10/21/2020,ARKK,PURE STORAGE INC - CLASS A,PSTG,16185101.0,290846264.97,2.83
10/21/2020,ARKK,2U INC,TWOU,8154344.0,275209110.0,2.68
10/21/2020,ARKK,TELADOC HEALTH INC,TDOC,1260062.0,273143639.74,2.66
10/21/2020,ARKK,MATERIALISE NV-ADR,MTLS,5170047.0,259484658.93,2.52
10/21/2020,ARKK,SERES THERAPEUTICS INC,MCRB,8489007.0,239389997.4,2.33
10/21/2020,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,6332547.0,234177588.06,2.28
10/21/2020,ARKK,EDITAS MEDICINE INC,EDIT,7170082.0,217038382.14,2.11
10/21/2020,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,790497.0,214477646.04,2.09
10/21/2020,ARKK,PAGERDUTY INC,PD,7260369.0,209389041.96,2.04
10/21/2020,ARKK,ILLUMINA INC,ILMN,614075.0,195183738.75,1.9
10/21/2020,ARKK,VERACYTE INC,VCYT,4296287.0,169488522.15,1.65
10/21/2020,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6850930.0,160928345.7,1.5599999999999998
10/21/2020,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,1831082.0,160476026.48,1.5599999999999998
10/21/2020,ARKK,SPLUNK INC,SPLK,753323.0,159455879.41,1.55
10/21/2020,ARKK,COMPUGEN LTD,CGEN,10985448.0,153246999.6,1.49
10/21/2020,ARKK,TWILIO INC - A,TWLO,498630.0,148940781.0,1.4500000000000002
10/21/2020,ARKK,TWIST BIOSCIENCE CORP,TWST,1682013.0,145039980.99,1.41
10/21/2020,ARKK,PINTEREST INC- CLASS A,PINS,2779002.0,137227118.76,1.3299999999999998
10/21/2020,ARKK,DOCUSIGN INC,DOCU,562500.0,122692500.0,1.1900000000000002
10/21/2020,ARKK,CERUS CORP,CERS,19297523.0,120223568.29,1.17
10/21/2020,ARKK,STRATASYS LTD,SSYS,7491022.0,111391497.14,1.08
10/21/2020,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,1110267.0,110438258.49,1.0699999999999998
10/21/2020,ARKK,SYNOPSYS INC,SNPS,484442.0,110186332.9,1.0699999999999998
10/21/2020,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2884582.0,105229551.36,1.02
10/21/2020,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,201147.0,103226628.93,1.0
10/21/2020,ARKK,HUYA INC-ADR,HUYA,4607925.0,100222368.75,0.97
10/21/2020,ARKK,ZSCALER INC,ZS,662763.0,97326746.55,0.95
10/21/2020,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,3485295.0,97901936.55,0.95
10/21/2020,ARKK,FACEBOOK INC-CLASS A,FB,331303.0,92344085.19,0.9000000000000001
10/21/2020,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6503610.0,85132254.9,0.83
10/21/2020,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1077310.0,72287501.0,0.7
10/21/2020,ARKK,DOUYU INTERNATIONAL HOLD-ADR,DOYU,4151622.0,62689492.2,0.61
10/21/2020,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,714062.0,52047979.18,0.51
10/21/2020,ARKK,SEA LTD-ADR,SE,313112.0,52721798.56,0.51
10/21/2020,ARKK,UNITY SOFTWARE INC,U,575846.0,52401986.0,0.51
10/21/2020,ARKK,SYROS PHARMACEUTICALS INC,SYRS,6554634.0,47258911.14,0.46
10/21/2020,ARKK,XILINX INC,XLNX,367305.0,40881046.5,0.4
10/21/2020,ARKK,MORGAN STANLEY GOVT INSTL 8035,,36316534.18,36316534.18,0.35000000000000003
10/21/2020,ARKK,EXONE CO/THE,XONE,2012565.0,25016182.95,0.24
10/21/2020,ARKK,ORGANOVO HOLDINGS INC,ONVO ,838729.0,9066660.49,0.09
