date,fund,company,ticker,shares,market value($),weight(%)
10/16/2020,ARKW,TESLA INC,TSLA,680004.0,298977358.68,9.99
10/16/2020,ARKW,ROKU INC,ROKU,896064.0,199212948.48,6.660000000000001
10/16/2020,ARKW,SQUARE INC - A,SQ,1007924.0,187826637.4,6.27
10/16/2020,ARKW,FACEBOOK INC-CLASS A,FB,350032.0,93084009.76,3.11
10/16/2020,ARKW,SLACK TECHNOLOGIES INC- CL A,WORK,2862719.0,92322687.75,3.08
10/16/2020,ARKW,PURE STORAGE INC - CLASS A,PSTG,4900095.0,89524735.65,2.9900000000000007
10/16/2020,ARKW,PINTEREST INC- CLASS A,PINS,1945752.0,85729833.12,2.86
10/16/2020,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,312823.0,82131678.65,2.74
10/16/2020,ARKW,LENDINGTREE INC,TREE UW,241928.0,81655538.56,2.73
10/16/2020,ARKW,PAGERDUTY INC,PD,2650074.0,80721254.04,2.7
10/16/2020,ARKW,TWILIO INC - A,TWLO,234352.0,76508897.44,2.56
10/16/2020,ARKW,SEA LTD-ADR,SE,447573.0,73939059.6,2.47
10/16/2020,ARKW,2U INC,TWOU,1932824.0,68808534.4,2.3
10/16/2020,ARKW,HUYA INC-ADR,HUYA,3063276.0,67974094.44,2.27
10/16/2020,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,929313.0,67579641.36,2.26
10/16/2020,ARKW,ZILLOW GROUP INC - C,Z,681233.0,66154536.63,2.21
10/16/2020,ARKW,TELADOC HEALTH INC,TDOC,298044.0,65954156.76,2.2
10/16/2020,ARKW,SNAP INC - A,SNAP,2361078.0,65708800.74,2.2
10/16/2020,ARKW,VERACYTE INC,VCYT,1514815.0,64864378.3,2.17
10/16/2020,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,4901551.0,60926278.93,2.04
10/16/2020,ARKW,MERCADOLIBRE INC,MELI,42903.0,54546016.14,1.82
10/16/2020,ARKW,AMAZON.COM INC,AMZN,16597.0,54317167.87,1.81
10/16/2020,ARKW,SPLUNK INC,SPLK,255694.0,52979796.8,1.77
10/16/2020,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,171936.0,52837652.16,1.77
10/16/2020,ARKW,NETFLIX INC,NFLX,93033.0,49380986.07,1.65
10/16/2020,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,475762.0,48194690.6,1.61
10/16/2020,ARKW,TRADE DESK INC/THE -CLASS A,TTD,72094.0,43616870.0,1.46
10/16/2020,ARKW,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,1681824.0,38530587.84,1.29
10/16/2020,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,266611.0,38749242.74,1.29
10/16/2020,ARKW,HUBSPOT INC,HUBS,113770.0,35412050.2,1.18
10/16/2020,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,382709.0,33180870.3,1.11
10/16/2020,ARKW,PAYPAL HOLDINGS INC,PYPL,162362.0,33194910.9,1.11
10/16/2020,ARKW,FASTLY INC - CLASS A,FSLY,393924.0,33353545.08,1.11
10/16/2020,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,154070.0,31961821.5,1.0699999999999998
10/16/2020,ARKW,OKTA INC,OKTA,128493.0,31345867.35,1.05
10/16/2020,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,54604.0,30523636.0,1.02
10/16/2020,ARKW,NVIDIA CORP,NVDA,55247.0,30521757.62,1.02
10/16/2020,ARKW,ADYEN NV-UNSPON ADR,ADYEY,792468.0,30351524.4,1.01
10/16/2020,ARKW,TWITTER INC,TWTR,659088.0,30192821.28,1.01
10/16/2020,ARKW,UNITY SOFTWARE INC,U,325588.0,30136425.28,1.01
10/16/2020,ARKW,DOCUSIGN INC,DOCU,125266.0,29387403.6,0.98
10/16/2020,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,426233.0,29346142.05,0.98
10/16/2020,ARKW,SYNOPSYS INC,SNPS,127941.0,28976077.68,0.97
10/16/2020,ARKW,ADOBE INC,ADBE,57045.0,28683366.9,0.96
10/16/2020,ARKW,JD.COM INC-ADR,JD,348272.0,28391133.44,0.95
10/16/2020,ARKW,LENDINGCLUB CORP,LC,4839190.0,24099166.2,0.8100000000000002
10/16/2020,ARKW,XILINX INC,XLNX,162541.0,19183088.82,0.64
10/16/2020,ARKW,CLOUDFLARE INC - CLASS A,NET,274150.0,15980203.5,0.53
10/16/2020,ARKW,ZSCALER INC,ZS,102709.0,15904488.65,0.53
10/16/2020,ARKW,WIX.COM LTD,WIX,46471.0,12842725.56,0.43
10/16/2020,ARKW,MORGAN STANLEY GOVT INSTL 8035,,7300485.14,7300485.14,0.24
10/16/2020,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,20944.0,203366.24,0.01
10/16/2020,ARKW,SALESFORCE.COM INC,CRM,622.0,160818.1,0.01
